periodo;ordem_mes;armazem;uf;estoque_inicial_loja;estoque_loja;devol_cd;acuracia_estoque
ABR/2026;4;LOJA SAO PEDRO DA UNIAO;MG;1;1;0;0
ABR/2026;4;LOJA MONTE BELO;MG;7;7;0;0
ABR/2026;4;LOJA DIVISA NOVA;MG;4;4;0;0
ABR/2026;4;LOJA ITAPETININGA;SP-ORN;17;17;0;0
ABR/2026;4;LOJA SIQUEIRA CAMPOS;SP-ORN;30;30;0;0
ABR/2026;4;LOJA ITABERA;SP-ORN;2;2;0;0
ABR/2026;4;LOJA ITARARE;SP-ORN;5;5;0;0
ABR/2026;4;LOJA CORNELIO PROCOPIO;SP-ORN;1;1;0;0
ABR/2026;4;LOJA SANTA C DO RIO PARDO;SP-ORN;21;20;1;0,047619048
ABR/2026;4;LOJA AREADO;MG;119;113;6;0,050420168
ABR/2026;4;LOJA ELOI MENDES;MG;11;10;1;0,090909091
ABR/2026;4;LOJA TRES CORACOES;MG;191;169;22;0,115183246
ABR/2026;4;LOJA POUSO ALEGRE;MG;183;148;35;0,191256831
ABR/2026;4;LOJA WENCESLAU BRAZ;SP-ORN;28;22;6;0,214285714
ABR/2026;4;LOJA ITAPEVA;SP-ORN;27;21;6;0,222222222
ABR/2026;4;LOJA BANDEIRANTES;SP-ORN;122;89;33;0,270491803
ABR/2026;4;LOJA CANDIDO MOTA;SP-ORN;32;23;9;0,28125
ABR/2026;4;LOJA TATUI;SP-ORN;13;9;4;0,307692308
ABR/2026;4;LOJA PRESIDENTE PRUDENTE;SP-ORN;102;70;32;0,31372549
ABR/2026;4;LOJA CARLOPOLIS;SP-ORN;12;8;4;0,333333333
ABR/2026;4;LOJA BERNARDINO DE CAMPOS;SP-ORN;15;10;5;0,333333333
ABR/2026;4;LOJA MUZAMBINHO;MG;3;2;1;0,333333333
ABR/2026;4;LOJA OURINHOS;SP-ORN;186;123;63;0,338709677
ABR/2026;4;LOJA TUPA;SP-ORN;116;75;41;0,353448276
ABR/2026;4;LOJA PARAPUA;SP-ORN;8;5;3;0,375
ABR/2026;4;LOJA ALFENAS;MG;245;141;104;0,424489796
ABR/2026;4;LOJA JACAREZINHO;SP-ORN;25;14;11;0,44
ABR/2026;4;LOJA SANTA RITA DO SAPUCAI;MG;26;14;12;0,461538462
ABR/2026;4;LOJA CAMBARA;SP-ORN;13;7;6;0,461538462
ABR/2026;4;LOJA ASSIS;SP-ORN;33;17;16;0,484848485
ABR/2026;4;LOJA POCOS DE CALDAS;MG;173;87;86;0,497109827
ABR/2026;4;LOJA ITAJUBA;MG;18;9;9;0,5
ABR/2026;4;LOJA FARTURA;SP-ORN;8;4;4;0,5
ABR/2026;4;LOJA VARGINHA;MG;109;54;55;0,504587156
ABR/2026;4;LOJA PALMITAL;SP-ORN;19;9;10;0,526315789
ABR/2026;4;LOJA BASTOS;SP-ORN;7;3;4;0,571428571
ABR/2026;4;LOJA PIRAJU;SP-ORN;36;15;21;0,583333333
ABR/2026;4;LOJA NOVA RESENDE;MG;26;8;18;0,692307692
ABR/2026;4;LOJA CALDAS;MG;26;8;18;0,692307692
ABR/2026;4;LOJA CHAVANTES;SP-ORN;10;3;7;0,7
